year_start,name,name_unified,corrected_id,corrected_label,born,source,link_notes,other_notes
1720,bbti_51499,"OSBORN, John I",,,England,Y,Partner and FIL to T. Longman,
1720,NV23762,"Oswald, J.",,,Scotland,N,,
1720,20033278,"Owen, W.",,"Owen, William",England,N,,
1720,bbti_105269,"PALMER, Samuel",,,England,N,,
1720,messieursjpaton_0,"PATON, Messieurs",,,England,N,,
1720,bbti_109907,"PEELE, John",,,England,N,,
1720,bbti_53584,"PEMBERTON, John",,,England,N,,
1720,bbti_55662,"PRATT, T",,,England,N,,
1720,77108557,"Ramsay, Allan, 1685-1758.",,,Scotland,Y,,
1720,228716377,"Roberts, J.",,,England,N,,
1720,101583814,"Ruddimanni, Thomas",,,Scotland,Y,https://en.wikipedia.org/wiki/Thomas_Ruddiman,
1720,walterruddimans_0,"RUDDIMANS, Walter",,,Scotland,Y,,
1720,104162705,"Sallust, 86 B.C.-34 B.C.",X,,?,,,
1720,34336674,"Sanders, T.",,"Sanders, Thomas",?,,,
1720,26653683,"Stagg, J.",,"Stagg, John",England,N,,
1720,bbti_66593,"STOKOE, Luke",,,England,N,,
1720,71442890,"Strahan, G.",,,Scotland,Y,,
1720,bbti_114404,"SYMON, Edward",,,England,N,,
1720,hughdeams_0,"THOMAS, Mr",,"Deams, Hugh",England,N,,
1720,johntraill_0,"TRAILL, J.",,"Traill, John",Scotland,Y,Book source,
1720,12183814,"Trye, T.",,"Trye, Thomas",England,N,,
1720,76551088,"Vaillant, P.",,"Vaillant, Paul",France,N,Huguenot immigrant,
1720,51557323,"Warner, T.",,"Warner, Thomas",England,N,,
1720,bbti_73560,"WATSON, James",,,England,N,,
1720,218481116,"Watts, J.",,"Watts, John",England,N,,
1720,jwatts_0,"WATTS, J.",218481116,"Watts, John",England,N,,
1720,22019654,"Wilford, J.",,"Wilford, John",England,Y,https://en.wikipedia.org/wiki/John_Wilford,
1720,bbti_76236,"WILLIAMS, J",,,England,N,,
1720,bbti_76655,"WILLOCK, R",,,England,N,ESTC,
1720,bbti_76839,"WILSON, J",,"Wilson, John",England,Y,See David Hume: A Treatise of Human Nature: Volume 2: Editorial Material,Printed Hume
1720,bbti_77311,"WITFORD, J",,,England,N,,
1720,bbti_77907,"WOODWARD, Thomas",,,England,N,,
1740,12162986,"Baldwin, R.",,"Baldwin, Robert I (fl. 1746 - 1810)",England,N,,
1740,32051268,"Balfour, J.",,"Balfour, John",Scotland,Y,,
1740,bbti_4474,"BASKET, Robert",,,England,Y,King's Printer,
1740,54199802,"Baskett, Thomas",,,England,Y,King's Printer,
1740,johnbaillie_0,"BELL, J.",,"Baillie, John",Scotland,N,,
1740,johnbell_1,"BELL, J.",,,England,Y,,
1740,antoineboudet_0,"BOUDET, Antoine",,,France,Y,,
1740,bbti_7993,"BOUQUET, Joseph",,,England,N,,
1740,2321741,"Buckland, J.",,,England,Y,,
1740,jamescochran_0,"COCHRAN, J.",,,Scotland,N,,
1740,9741821,"Cooper, M.",,"Cooper, Mary",England,Y,,
1740,45785847,"Dod, B.",,"Dodd, Benjamin",England,N,,
1740,rdodsley_0,"DODSLEY, R.",,"Dodsley, Robert",England,Y,,
1740,75336707,"Donaldson, A.",,,Scotland,N,,
1740,robertfleming_0,"FLEMING, R.",,"Fleming, Robert",Scotland,N,,
1740,bbti_24564,"FLETCHER, James I",,,England,N,"https://en.wikisource.org/wiki/A_Dictionary_of_the_Booksellers_and_Printers_who_Were_at_Work_in_England,_Scotland_and_Ireland_from_1641_to_1667/Fletcher_(James)",
1740,bbti_25296,"FOX, James",,,England,N,,
1740,bbti_25432,"FRANCKLIN, Richard",,,England,Y,https://www.cambridge.org/core/books/abs/cambridge-history-of-the-book-in-britain/richard-francklin-a-controversial-publisher-bookseller-and-printer-17181765/9B0FCD29536D0E0ED14540F37FDC4E06,
1740,robertfreebairn_1,"FREEBAIRN, Robert",,,Scotland,Y,,
1740,willgordon_0,"GORDON, W.",,,Scotland,N,,
1740,rgriffiths_0,"GRIFFITHS, R.",,,England,N,,
1740,wilhamilton_0,"HAMILTON, Hamilton",,"Hamilton, William",Scotland,N,,
1740,55519819,"Henderson, Andrew, active 1734-1775.",,,Scotland,N,,
1740,williamjohnston_0,"JOHNSTON, W.",,"Johnston, William",England,N,,
